Jurisdiction,Year,Fuel,Unit,Quantity
NSW,2014-15,Large-scale solar PV,GWh,60.176
NSW,2014-15,Natural gas,GWh,4528.39
NSW,2014-15,Oil products,GWh,284.3
NSW,2014-15,Other,GWh,
NSW,2014-15,Small-scale solar PV,GWh,1211.187
NSW,2014-15,Total,GWh,62816.441
NSW,2014-15,Total non-renewable,GWh,57374.89
NSW,2014-15,Total renewable,GWh,5441.551
NSW,2014-15,Wind,GWh,1376
NSW,2015-16,"Bagasse, wood",GWh,601.734
NSW,2015-16,Biogas,GWh,444.606
NSW,2015-16,Black coal,GWh,55334.499
NSW,2015-16,Brown coal,GWh,
NSW,2015-16,Geothermal,GWh,
